epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1499,0.61945,2.22067,1.23133,0.53113,0.36072,0.49664,0.3713,0.79472,2.3074,1.39144,0.0676226,0.000327044,0.000327044
2,21.5517,0.63496,1.33778,1.23347,0.60011,0.52098,0.58879,0.48072,0.75588,2.05376,1.35659,0.0346096,0.000647302,0.000647302
3,31.6175,0.62297,1.20798,1.21364,0.46852,0.55602,0.5772,0.40037,1.0493,2.59009,1.58788,0.00158329,0.00095436,0.00095436
4,41.6778,0.60393,1.10379,1.18247,0.69682,0.64294,0.69897,0.55761,0.76496,2.03132,1.29915,0.0009406,0.0009406,0.0009406
5,51.8152,0.60408,1.04123,1.19505,0.73683,0.64907,0.70952,0.55391,0.79857,1.73507,1.32787,0.0009208,0.0009208,0.0009208
6,61.8083,0.5608,0.97811,1.15991,0.54259,0.61405,0.6351,0.51587,0.68349,2.17879,1.20055,0.000901,0.000901,0.000901
7,71.9998,0.55106,0.94006,1.15955,0.87095,0.65443,0.80443,0.66978,0.67148,2.25008,1.21091,0.0008812,0.0008812,0.0008812
8,81.8352,0.53336,0.88093,1.15595,0.78041,0.59259,0.72231,0.62925,0.57522,1.92499,1.08503,0.0008614,0.0008614,0.0008614
9,91.975,0.52967,0.84271,1.13926,0.70853,0.60741,0.68608,0.59121,0.69309,1.99675,1.17629,0.0008416,0.0008416,0.0008416
10,102.27,0.50863,0.80238,1.1304,0.74942,0.59259,0.73178,0.58909,0.71591,2.18601,1.28814,0.0008218,0.0008218,0.0008218
11,112.17,0.50667,0.81232,1.13623,0.78974,0.73382,0.82402,0.73485,0.50349,1.39517,0.99745,0.000802,0.000802,0.000802
12,122.505,0.49094,0.78071,1.11838,0.6749,0.61862,0.73497,0.65442,0.5652,2.21646,1.09068,0.0007822,0.0007822,0.0007822
13,134.2,0.47661,0.72696,1.11065,0.86738,0.69634,0.81547,0.72719,0.54295,1.63072,1.02962,0.0007624,0.0007624,0.0007624
14,145.11,0.49451,0.74405,1.1184,0.68135,0.72593,0.80922,0.7253,0.48506,1.53193,0.99635,0.0007426,0.0007426,0.0007426
15,155.79,0.4728,0.73547,1.1109,0.65628,0.75428,0.78239,0.69025,0.56406,1.77369,1.0699,0.0007228,0.0007228,0.0007228
16,166.77,0.45736,0.68058,1.08809,0.79666,0.64289,0.79103,0.7221,0.52422,1.94203,1.02387,0.000703,0.000703,0.000703
17,178.03,0.46777,0.68363,1.10306,0.9155,0.69034,0.87194,0.78085,0.53814,1.36742,1.01977,0.0006832,0.0006832,0.0006832
18,189.04,0.46358,0.67918,1.09657,0.87032,0.699,0.84698,0.7661,0.52642,1.35756,1.0411,0.0006634,0.0006634,0.0006634
19,201.07,0.43103,0.63004,1.07537,0.84841,0.72407,0.864,0.79724,0.44522,1.39734,0.93026,0.0006436,0.0006436,0.0006436
20,213.71,0.42769,0.62389,1.0706,0.77824,0.6594,0.76007,0.70484,0.5012,2.18611,0.9912,0.0006238,0.0006238,0.0006238
21,226.45,0.43352,0.60551,1.07371,0.87894,0.70374,0.85254,0.77203,0.46413,1.5553,0.92723,0.000604,0.000604,0.000604
22,239.055,0.40654,0.60627,1.06459,0.83418,0.7124,0.85223,0.7886,0.46069,1.7936,0.94347,0.0005842,0.0005842,0.0005842
23,252.27,0.41691,0.61988,1.06371,0.89206,0.70856,0.83838,0.78263,0.42903,1.58036,0.90853,0.0005644,0.0005644,0.0005644
24,264.17,0.40318,0.60755,1.0608,0.81766,0.70522,0.81881,0.76396,0.42372,1.65505,0.9255,0.0005446,0.0005446,0.0005446
25,275.633,0.42297,0.56467,1.07226,0.83574,0.69664,0.81934,0.77111,0.42643,1.7198,0.91415,0.0005248,0.0005248,0.0005248
26,286.92,0.4018,0.54182,1.0687,0.88464,0.73312,0.85359,0.80808,0.38757,1.60922,0.85301,0.000505,0.000505,0.000505
27,301.62,0.39413,0.54228,1.05253,0.86657,0.7458,0.85305,0.80303,0.42733,1.45523,0.9165,0.0004852,0.0004852,0.0004852
28,313.23,0.3942,0.5463,1.06169,0.86147,0.73005,0.86113,0.80788,0.42341,1.47642,0.9144,0.0004654,0.0004654,0.0004654
29,325.735,0.3934,0.52173,1.04728,0.88209,0.76375,0.84986,0.81209,0.40667,1.48458,0.90363,0.0004456,0.0004456,0.0004456
30,338.369,0.38142,0.49702,1.04235,0.87919,0.76481,0.86847,0.81656,0.41342,1.52105,0.88904,0.0004258,0.0004258,0.0004258
31,349.73,0.40355,0.52933,1.05642,0.86242,0.76629,0.86874,0.82178,0.40625,1.53111,0.88515,0.000406,0.000406,0.000406
32,361.33,0.37836,0.50739,1.04463,0.89091,0.74955,0.87391,0.83347,0.3771,1.51148,0.86824,0.0003862,0.0003862,0.0003862
33,375.295,0.37516,0.48897,1.04667,0.83997,0.76072,0.8744,0.83481,0.38,1.70489,0.88502,0.0003664,0.0003664,0.0003664
34,387.56,0.37964,0.49388,1.04954,0.8372,0.80185,0.89557,0.85325,0.37398,1.50397,0.87494,0.0003466,0.0003466,0.0003466
35,398.477,0.36323,0.48112,1.04455,0.91892,0.72947,0.89022,0.84423,0.37988,1.72075,0.8483,0.0003268,0.0003268,0.0003268
36,409.797,0.36238,0.45124,1.03133,0.88819,0.78023,0.91744,0.87212,0.39316,1.29192,0.86915,0.000307,0.000307,0.000307
37,422.302,0.35695,0.44227,1.02371,0.91853,0.76157,0.89493,0.854,0.35926,1.51034,0.82934,0.0002872,0.0002872,0.0002872
38,434.84,0.34981,0.44452,1.02858,0.86631,0.76792,0.89648,0.85109,0.36559,1.56019,0.85591,0.0002674,0.0002674,0.0002674
39,447.15,0.33775,0.42959,1.02251,0.90246,0.77018,0.88921,0.84799,0.36895,1.41194,0.8333,0.0002476,0.0002476,0.0002476
40,460.132,0.34425,0.4248,1.02638,0.89292,0.78385,0.88636,0.8489,0.37148,1.58084,0.82936,0.0002278,0.0002278,0.0002278
41,510.137,0.28826,0.3942,0.98793,0.88339,0.75348,0.82982,0.79125,0.35826,1.66204,0.82487,0.000208,0.000208,0.000208
42,522.022,0.26146,0.34247,0.95462,0.88509,0.79116,0.82619,0.78816,0.37632,1.70661,0.84651,0.0001882,0.0001882,0.0001882
43,533.98,0.24877,0.33656,0.95385,0.90222,0.75957,0.83585,0.80245,0.36701,1.67174,0.84325,0.0001684,0.0001684,0.0001684
44,545.863,0.24463,0.2946,0.94306,0.88387,0.77931,0.85711,0.8236,0.35373,1.57114,0.81826,0.0001486,0.0001486,0.0001486
45,557.7,0.23865,0.29825,0.9602,0.87155,0.78682,0.85432,0.82919,0.3219,1.77801,0.7883,0.0001288,0.0001288,0.0001288
46,569.73,0.22004,0.27374,0.93218,0.92636,0.77568,0.88257,0.85898,0.31149,1.52255,0.78409,0.000109,0.000109,0.000109
47,582.387,0.22184,0.26336,0.92926,0.91088,0.79815,0.88897,0.86136,0.31166,1.54345,0.77788,8.92e-05,8.92e-05,8.92e-05
48,595.263,0.21386,0.24852,0.92546,0.91591,0.78117,0.88227,0.85525,0.30978,1.6275,0.77497,6.94e-05,6.94e-05,6.94e-05
49,608.046,0.20341,0.23876,0.91613,0.92189,0.7716,0.88164,0.85345,0.32239,1.59696,0.78083,4.96e-05,4.96e-05,4.96e-05
50,621.369,0.20203,0.23814,0.92815,0.93495,0.77963,0.88114,0.85361,0.3114,1.57062,0.77328,2.98e-05,2.98e-05,2.98e-05
